"npar","fmin","chisq","df","pvalue","baseline.chisq","baseline.df","baseline.pvalue","cfi","tli","nnfi","rfi","nfi","pnfi","ifi","rni","logl","unrestricted.logl","aic","bic","ntotal","bic2","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.ci.level","rmsea.pvalue","rmsea.close.h0","rmsea.notclose.pvalue","rmsea.notclose.h0","rmr","rmr_nomean","srmr","srmr_bentler","srmr_bentler_nomean","crmr","crmr_nomean","srmr_mplus","srmr_mplus_nomean","cn_05","cn_01","gfi","agfi","pgfi","mfi","ecvi"
18,0.274196548350395,49.9037717997719,60,0.820507965113061,296.439835278224,66,0,1,1.04819414580314,1.04819414580314,0.814821955597742,0.831656323270674,0.75605120297334,1.04270104565226,1.04381285982104,-1440.49034416687,-1415.53845826699,2916.98068833374,2962.17615945105,91,2905.36251026424,0,0,0.040910604032228,0.9,0.97561116028042,0.05,0.000457058101165207,0.08,0.0891274371207142,0.0891274371207142,0.0836905522006759,0.0836905522006759,0.0836905522006759,0.0878252266173107,0.0878252266173107,0.0841006465774446,0.0841006465774446,145.206673941771,162.160706495308,0.915481063905889,0.890125383077656,0.70421620300453,1.05704130248138,0.943997492305186
18,0.419809370504054,76.4053054317378,60,0.0750656947646676,351.341564074258,66,0,0.942506429145848,0.936757072060433,0.936757072060433,0.760785957117365,0.782532688288513,0.711393352989558,0.94369047381253,0.942506429145848,-1386.79420953472,-1348.59155681885,2809.58841906944,2854.78389018674,91,2797.97024099994,0.0548145482007968,0,0.0886992108594365,0.9,0.395813737921248,0.05,0.120163678905508,0.08,0.0857098382754876,0.0857098382754876,0.0900091926865327,0.0900091926865327,0.0900091926865327,0.0886829834463647,0.0886829834463647,0.087414099573112,0.087414099573112,95.1879220000463,106.261369934805,0.894896250259108,0.863365125336841,0.688381730968545,0.913804120351072,1.2352231366125
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
