"npar","fmin","chisq","df","pvalue","baseline.chisq","baseline.df","baseline.pvalue","cfi","tli","nnfi","rfi","nfi","pnfi","ifi","rni","logl","unrestricted.logl","aic","bic","ntotal","bic2","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.ci.level","rmsea.pvalue","rmsea.close.h0","rmsea.notclose.pvalue","rmsea.notclose.h0","rmr","rmr_nomean","srmr","srmr_bentler","srmr_bentler_nomean","crmr","crmr_nomean","srmr_mplus","srmr_mplus_nomean","cn_05","cn_01","gfi","agfi","pgfi","mfi","ecvi"
18,0.135626030636928,271.52331333513,60,0,3175.80088047631,66,0,0.931981717973296,0.925179889770626,0.925179889770626,0.905952653862906,0.914502412602642,0.831365829638765,0.932112698644981,0.931981717973296,-15403.657069072,-15267.8954124045,30843.3141381441,30931.6717241717,1001,30874.5026833811,0.0593453173291423,0.0522748685091591,0.0666091440027986,0.9,0.0153966074625644,0.05,9.28886271042437e-07,0.08,0.0587365626665148,0.0587365626665148,0.0593899038025949,0.0593899038025949,0.0593899038025949,0.0643441213490132,0.0643441213490132,0.0595076533972381,0.0595076533972381,292.544123633434,326.820266531437,0.951783197235291,0.937318156405878,0.732140920950224,0.899734102778092,0.307216097237892
18,0.129416320443251,259.091473527389,60,0,3080.02687564879,66,0,0.933945023803235,0.927339526183559,0.927339526183559,0.907468138303146,0.915880125730132,0.832618296118302,0.934076257687403,0.933945023803235,-15537.0287050896,-15407.4829683259,31110.0574101791,31198.4149962068,1001,31141.2459554162,0.0575749628667478,0.0504768553239852,0.0648665675961196,0.9,0.0398496800350797,0.05,1.1776300904975e-07,0.08,0.0592322150496431,0.0592322150496431,0.0594458062136364,0.0594458062136364,0.0594458062136364,0.0633724427819398,0.0633724427819398,0.0590662654907424,0.0590662654907424,306.53312061799,342.453916317314,0.952720539288985,0.938536701075681,0.732861953299219,0.905338573869087,0.294796676850539
18,0.12854927842586,257.355655408571,60,0,3417.16983732847,66,0,0.941108429298259,0.935219272228085,0.935219272228085,0.917156233249809,0.924687484772554,0.840624986156867,0.941213681472362,0.941108429298259,-15502.7106361685,-15374.0328084642,31041.421272337,31129.7788583647,1001,31072.609817574,0.0573234240823737,0.0502211601663511,0.0646191564686605,0.9,0.0450638993406216,0.05,8.67984294843747e-08,0.08,0.0541956212095146,0.0541956212095146,0.0546749305090377,0.0546749305090377,0.0546749305090377,0.0585601966157329,0.0585601966157329,0.0544412313255396,0.0544412313255396,308.593887170121,344.756962247057,0.954053938725993,0.940270120343791,0.733887645173841,0.906123880850475,0.293062592815755
18,0.117493797688735,235.222582972848,60,0,3091.69895577904,66,0,0.942088560186011,0.936297416204612,0.936297416204612,0.916309820273257,0.923918018430233,0.839925471300212,0.942203172040272,0.942088560186011,-15505.1328785636,-15387.5215870771,31046.2657571271,31134.6233431548,1001,31077.4543023642,0.054013506865939,0.0468505538007857,0.0613682212629082,0.9,0.17375195779443,0.05,1.20338548851933e-09,0.08,0.0539438211160693,0.0539438211160693,0.0544088223403913,0.0544088223403913,0.0544088223403913,0.0585504598384015,0.0585504598384015,0.0542191350455499,0.0542191350455499,337.536677014019,377.102486429047,0.959874363666735,0.947836672766755,0.738364895128258,0.91619709547725,0.270951631341506
18,0.15227661798364,304.857789203247,60,0,3191.75863060641,66,0,0.921664524315576,0.913830976747134,0.913830976747134,0.894934546457274,0.904485951324795,0.822259955749814,0.921814603842623,0.921664524315576,-15545.3883395428,-15392.9594449412,31126.7766790856,31215.1342651133,1001,31157.9652243226,0.0638504993490288,0.0568396036309482,0.0710525024210819,0.9,0.000676841668431516,0.05,9.20015874886247e-05,0.08,0.0645360916200494,0.0645360916200494,0.0656191571850335,0.0656191571850335,0.0656191571850335,0.0687067663280184,0.0687067663280184,0.0646373772045895,0.0646373772045895,260.665421832343,291.193662269753,0.945776755592329,0.929509782270028,0.727520581224869,0.884877034218623,0.340517271931316
18,0.121422463295796,243.087771518184,60,0,3332.05894047395,66,0,0.943942294105808,0.938336523516389,0.938336523516389,0.919750354526451,0.927045776842228,0.842768888038389,0.944045087558336,0.943942294105808,-15479.8574561304,-15358.3135703713,30995.7149122609,31084.0724982886,1001,31026.9034574979,0.0552124482720356,0.0480728440824466,0.0625447469248277,0.9,0.112734800921118,0.05,5.9952460213817e-09,0.08,0.0576590422244293,0.0576590422244293,0.0581893546876102,0.0581893546876102,0.0581893546876102,0.061312790437895,0.061312790437895,0.0577342400576028,0.0577342400576028,326.647916955851,364.9335609843,0.955857488404346,0.94261473492565,0.735274991080266,0.912604724691247,0.278808962555629
18,0.163710802013451,327.749025630929,60,0,3389.60465188829,66,0,0.919440170033819,0.911384187037201,0.911384187037201,0.893638354551708,0.903307595047008,0.821188722770007,0.919585340115655,0.919440170033819,-15572.912662794,-15409.0381499785,31181.825325588,31270.1829116157,1001,31213.0138708251,0.0667684486474016,0.059789380591019,0.0739361281115289,0.9,5.08879518500427e-05,0.05,0.00107745384219482,0.08,0.0678759290329953,0.0678759290329953,0.0673596416857927,0.0673596416857927,0.0673596416857927,0.0710357616433152,0.0710357616433152,0.0670526254156529,0.0670526254156529,242.529402810424,270.9254350186,0.941393634587858,0.923811724964215,0.724148949682968,0.874816812187012,0.363385639990938
18,0.162470040885694,325.265021853159,60,0,3363.15207266992,66,0,0.919547228636513,0.911501951500165,0.911501951500165,0.89361422965497,0.9032856633227,0.821168784838818,0.919693366815308,0.919547228636513,-15552.5692783322,-15389.9367674056,31141.1385566644,31229.4961426921,1001,31172.3271019015,0.0664580095287402,0.0594757753961207,0.0736291536119544,0.9,6.84829201531567e-05,0.05,0.000845588298942655,0.08,0.0625956683567842,0.0625956683567842,0.061843214703327,0.061843214703327,0.061843214703327,0.0663154284343411,0.0663154284343411,0.0616699421327091,0.0616699421327091,244.373929300255,272.986818060903,0.94382486361024,0.926972322693311,0.726019125854031,0.875902924545141,0.360904117735424
18,0.118771812805296,237.781169236202,60,0,3071.3699617553,66,0,0.940845496062532,0.934930045668785,0.934930045668785,0.914839537595028,0.922581397813662,0.838710361648784,0.94096335837375,0.940845496062532,-15430.3060965645,-15311.4155119464,30896.6121931289,30984.9697791566,1001,30927.800738366,0.0544064281849322,0.0472513109835872,0.0617536566400446,0.9,0.151814498869621,0.05,2.05098635495197e-09,0.08,0.0544937333427007,0.0544937333427007,0.056173403839468,0.056173403839468,0.056173403839468,0.0593083169745524,0.0593083169745524,0.0554173391544399,0.0554173391544399,333.915456201249,373.055527376394,0.958153525428742,0.945599583057364,0.737041173406724,0.915026929643565,0.273507661574627
18,0.114725102303419,229.679654811445,60,0,3152.95399203894,66,0,0.945033306214139,0.939536636835553,0.939536636835553,0.919869550608568,0.92715413691688,0.842867397197164,0.945139935722229,0.945033306214139,-15422.5456510422,-15307.7058236364,30881.0913020843,30969.448888112,1001,30912.2798473214,0.053152319589832,0.0459715305359991,0.0605239385246654,0.9,0.228355918768871,0.05,3.65392752870715e-10,0.08,0.0539510595319293,0.0539510595319293,0.0554115526959395,0.0554115526959395,0.0554115526959395,0.0586076514634073,0.0586076514634073,0.0549563496850094,0.0549563496850094,345.658417818172,386.179080807041,0.958627819751718,0.946216165677234,0.737406015193629,0.918737281024854,0.265414240570874
