"npar","fmin","chisq","df","pvalue","baseline.chisq","baseline.df","baseline.pvalue","cfi","tli","nnfi","rfi","nfi","pnfi","ifi","rni","logl","unrestricted.logl","aic","bic","ntotal","bic2","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.ci.level","rmsea.pvalue","rmsea.close.h0","rmsea.notclose.pvalue","rmsea.notclose.h0","rmr","rmr_nomean","srmr","srmr_bentler","srmr_bentler_nomean","crmr","crmr_nomean","srmr_mplus","srmr_mplus_nomean","cn_05","cn_01","gfi","agfi","pgfi","mfi","ecvi"
18,0.649687395854997,650.986770646707,447,8.88241258323319e-10,3497.99623772713,435,0,0.933402866077931,0.935190708599329,0.935190708599329,NA,NA,0.836349572856219,0.933140930124952,0.933402866077931,-19851.885393167,-19526.3920078437,39739.7707863341,39815.6696961536,501,39758.5364404496,0.0301806352588173,0.0249979577492405,0.0351081741452682,0.9,0.999999999999606,0.05,7.32466503748616e-85,0.08,0.0595514708570297,0.0595514708570297,0.0598483979194191,0.0598483979194191,0.0598483979194191,0.0550028251361893,0.0550028251361893,0.0569671030526567,0.0569671030526567,383.715874999044,400.795177636365,0.916462727140539,0.913098810112641,0.880986750606067,0.815805254319439,1.37123107913514
18,0.553222034080026,554.328478148186,447,0.00039149672010963,3239.42945709185,435,0,0.961728943519412,0.962756354431643,0.962756354431643,NA,NA,0.851746508647218,0.961564480035259,0.961728943519412,-19803.766450796,-19526.6022117219,39643.532901592,39719.4318114115,501,39662.2985557075,0.0218919708498521,0.0151725881203085,0.0276554064714108,0.9,1,0.05,5.05846671945222e-105,0.08,0.046679022884924,0.046679022884924,0.0478784640244877,0.0478784640244877,0.0478784640244877,0.0464055133632257,0.0464055133632257,0.0464944447938097,0.0464944447938097,450.450066814453,470.507488554556,0.931393679793879,0.928631009181552,0.895339730898632,0.898423022611646,1.1783003555852
18,0.608009933031417,609.225952897479,447,4.7342859532673e-07,3331.53441188697,435,0,0.943993086278648,0.945496627586604,0.945496627586604,NA,NA,0.839675139897765,0.943760090977262,0.943993086278648,-19875.4934233376,-19570.8804468888,39786.9868466751,39862.8857564947,501,39805.7525007907,0.0269145759932439,0.0213021308533324,0.0321097261007705,0.9,1,0.05,4.47479061345637e-93,0.08,0.0513300495218389,0.0513300495218389,0.051957689197018,0.051957689197018,0.051957689197018,0.0503427660202193,0.0503427660202193,0.0506171458395103,0.0506171458395103,409.950029715464,428.200073095738,0.92460977821995,0.921573930363035,0.888818431966275,0.850524425474054,1.28787615348798
18,0.551271151011745,552.373693313769,447,0.00048004750384234,3320.00490868678,435,0,0.963475385086352,0.964455911661215,0.964455911661215,NA,NA,0.856619113800821,0.963322828654012,0.963475385086352,-19991.1699598519,-19714.983113195,40018.3399197038,40094.2388295233,501,40037.1055738193,0.0216916943641456,0.014909039298147,0.0274829435861564,0.9,1,0.05,1.7872299355157e-105,0.08,0.0495729174019772,0.0495729174019772,0.0492359739144856,0.0492359739144856,0.0492359739144856,0.0467704306931356,0.0467704306931356,0.0479675794479618,0.0479675794479618,452.040617170256,472.16901974147,0.92944240650848,0.926601161132982,0.893463990772668,0.900177451661138,1.17439858944864
18,0.58096707323635,582.129007382822,447,1.64559849331614e-05,3094.3770630095,435,0,0.949187721717844,0.950551809725418,0.950551809725418,NA,NA,0.834271776741363,0.948957400413068,0.949187721717844,-19759.3492362948,-19468.2847326034,39554.6984725896,39630.5973824091,501,39573.4641267051,0.0245641459315748,0.0185260065008023,0.0299971550203481,0.9,1,0.05,8.47053263776455e-99,0.08,0.0506265561602694,0.0506265561602694,0.0522887431333457,0.0522887431333457,0.0522887431333457,0.0498127429535588,0.0498127429535588,0.0507562519634953,0.0507562519634953,428.985838845192,448.08538538515,0.928511773835126,0.925633053318419,0.892569382589895,0.873838861947909,1.23379043389785
18,0.565857365669759,566.989080401098,447,9.83204961769735e-05,3122.75072240138,435,0,0.955357065147063,0.956555533196807,0.956555533196807,NA,NA,0.841010264634632,0.955156853963805,0.955357065147063,-19957.8460344766,-19674.3514942761,39951.6920689533,40027.5909787728,501,39970.4577230688,0.0231471879456769,0.016781335887764,0.0287464378787958,0.9,1,0.05,3.84204809705342e-102,0.08,0.0490045542190907,0.0490045542190907,0.049472823982914,0.049472823982914,0.049472823982914,0.0472256488552995,0.0472256488552995,0.0484437947459495,0.0484437947459495,440.414056024867,460.023604873502,0.928465153333327,0.925584555480978,0.892524566752682,0.887142566045877,1.20357101876467
18,0.605151601404367,606.361904607176,447,7.03062742024585e-07,3420.02707281304,435,0,0.946612911467836,0.94804612189823,0.94804612189823,NA,NA,0.845397845139125,0.946397425686275,0.946612911467836,-19736.2863789511,-19433.1054266475,39508.5727579023,39584.4716677218,501,39527.3384120178,0.0266759338181511,0.021025600762267,0.031893314213369,0.9,1,0.05,1.15111777618647e-93,0.08,0.0543671488471115,0.0543671488471115,0.0556246827960683,0.0556246827960683,0.0556246827960683,0.0505904352258792,0.0505904352258792,0.0528067646981938,0.0528067646981938,411.881636276706,430.217880661931,0.926193839058727,0.923221778886595,0.89034117432097,0.852958984069339,1.28215949023388
18,0.529971886415234,531.031830188065,447,0.00375429749638234,3181.74499849213,435,0,0.969406759552053,0.970228054597636,0.970228054597636,NA,NA,0.856082524362944,0.969272517095964,0.969406759552053,-20020.5006040763,-19754.9846889823,40077.0012081527,40152.9001179722,501,40095.7668622682,0.0193708771448433,0.0116571997685222,0.025521401222295,0.9,1,0.05,1.55280974651788e-110,0.08,0.0479689492684406,0.0479689492684406,0.0477991341268591,0.0477991341268591,0.0477991341268591,0.0457825523686335,0.0457825523686335,0.0469025718936965,0.0469025718936965,470.167679558158,491.105031025075,0.932951500747602,0.930251561180391,0.896837249105759,0.919556213469125,1.13180006025562
18,0.627075591339317,628.329742521995,447,3.00958952204056e-08,3471.3955802697,435,0,0.94028125198829,0.941884439854376,0.941884439854376,NA,NA,0.841590989161009,0.940044303825551,0.94028125198829,-19750.9911711925,-19436.8262999315,39537.9823423849,39613.8812522045,501,39556.7479965005,0.0284552167408393,0.023064226450327,0.0335160927877585,0.9,0.999999999999993,0.05,3.13101148615258e-89,0.08,0.0536400216853323,0.0536400216853323,0.0548096645167176,0.0548096645167176,0.0548096645167176,0.0522463333141473,0.0522463333141473,0.0529172650523525,0.0529172650523525,397.516279081178,415.211446628302,0.920647894748152,0.917452507959487,0.885009911725643,0.834462222182318,1.32600747010378
18,0.590554614563708,591.735723792835,447,4.91705116922869e-06,3241.37107595342,435,0,0.948426020695192,0.949810557052368,0.949810557052368,NA,NA,0.839992915770941,0.948204544114295,0.948426020695192,-19883.69545285,-19587.8275909536,39803.3909057,39879.2898155196,501,39822.1565598156,0.0254223236935607,0.0195542189028004,0.0307634058645598,0.9,1,0.05,9.86822822365125e-97,0.08,0.0541240376554612,0.0541240376554612,0.0544578348443168,0.0544578348443168,0.0544578348443168,0.0499926228484554,0.0499926228484554,0.0522424998780001,0.0522424998780001,422.037570528834,440.827039580157,0.925396107498334,0.922391923907662,0.889574322691946,0.865500929749423,1.25296551655256
