"npar","fmin","chisq","df","pvalue","baseline.chisq","baseline.df","baseline.pvalue","cfi","tli","nnfi","rfi","nfi","pnfi","ifi","rni","logl","unrestricted.logl","aic","bic","ntotal","bic2","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.ci.level","rmsea.pvalue","rmsea.close.h0","rmsea.notclose.pvalue","rmsea.notclose.h0","rmr","rmr_nomean","srmr","srmr_bentler","srmr_bentler_nomean","crmr","crmr_nomean","srmr_mplus","srmr_mplus_nomean","cn_05","cn_01","gfi","agfi","pgfi","mfi","ecvi"
13,0.0421976737116285,84.4797427706803,8,6.10622663543836e-15,1551.14876550967,15,0,0.950213322766753,0.906649980187663,0.906649980187663,0.897882446083127,0.945537304577668,0.504286562441423,0.950439164077988,0.950213322766753,-7928.35426613434,-7886.114394749,15882.7085322687,15946.5223443998,1001,15905.2335927177,0.0977262371572043,0.0794968681917484,0.117101301695768,0.9,1.44415948615251e-05,0.05,0.94532629915233,0.08,0.0582079080782361,0.0582079080782361,0.0554977600004849,0.0554977600004849,0.0554977600004849,0.0656658407386252,0.0656658407386252,0.0554977646908904,0.0554977646908904,184.746065740966,239.049082598206,0.972730712402589,0.928418120056796,0.370564080915272,0.962518810421958,0.110369373397283
13,0.0400551654214785,80.1904411737999,8,4.47419878923938e-14,1440.96871962897,15,0,0.949374456690338,0.905077106294383,0.905077106294383,0.89565555785306,0.944349630854965,0.503653136455982,0.949621760625388,0.949374456690338,-7831.615539415,-7791.5203188281,15689.23107883,15753.0448909611,1001,15711.756139279,0.0949462498278295,0.0767043595011569,0.11435906951836,0.9,4.11123725307938e-05,0.05,0.912900422774567,0.08,0.0556352600349971,0.0556352600349971,0.0560255671258907,0.0560255671258907,0.0560255671258907,0.0662903430487238,0.0662903430487238,0.0560255654750688,0.0560255654750688,194.574447798312,251.782075398575,0.974173808543584,0.932206247426909,0.371113831826127,0.964583225676414,0.106084356816983
13,0.0410656723038967,82.2134759524012,8,1.75415237890775e-14,1414.62127143404,15,0,0.946976030253982,0.900580056726217,0.900580056726217,0.891030715765722,0.941883048408385,0.502337625817805,0.947239902126078,0.946976030253982,-7777.68550707054,-7736.57876909434,15581.3710141411,15645.1848262722,1001,15603.8960745901,0.0962674247966215,0.0780317143320299,0.115661974448266,0.9,2.51892816583998e-05,0.05,0.929749416486807,0.08,0.0532168024155095,0.0532168024155095,0.0541560453373232,0.0541560453373232,0.0541560453373232,0.0640782930699052,0.0640782930699052,0.0541560420238081,0.0541560420238081,189.811143052856,245.611057149999,0.973682214581731,0.930915813277044,0.370926557935898,0.963609000001977,0.108105370581819
13,0.0243099996795202,48.6686193583994,8,7.35864676970621e-08,1412.74503128259,15,0,0.970904121675839,0.945445228142197,0.945445228142197,0.935406843219153,0.965550316383548,0.514960168737892,0.971049109658521,0.970904121675839,-7808.32754735012,-7783.99323767092,15642.6550947002,15706.4689068313,1001,15665.1801551492,0.071263587622846,0.0527877602715186,0.0911428165921769,0.9,0.0301316305858381,0.05,0.248393994345369,0.08,0.0403071066274605,0.0403071066274605,0.0413195987177691,0.0413195987177691,0.0413195987177691,0.0488900063592379,0.0488900063592379,0.0413195968883298,0.0413195968883298,319.94926491771,414.209282075559,0.983973671449605,0.957930887555214,0.374847112933183,0.979890943469797,0.0745940253330664
13,0.0409633479559219,82.0086226077557,8,1.92068583260152e-14,1506.2164990148,15,0,0.95037030326807,0.90694431862763,0.90694431862763,0.897912307101855,0.945553230454323,0.504295056242305,0.950602184226097,0.95037030326807,-7695.46933670163,-7654.46502539776,15416.9386734033,15480.7524855344,1001,15439.4637338522,0.0961344682722045,0.0778981552101262,0.115530830476179,0.9,2.64780778809204e-05,0.05,0.928175972908162,0.08,0.0534638073859603,0.0534638073859603,0.0556041930823778,0.0556041930823778,0.0556041930823778,0.0657917682508839,0.0657917682508839,0.0556041928633695,0.0556041928633695,190.28278363077,246.222083059239,0.973511421530912,0.930467481518645,0.370861493916538,0.963707605709401,0.10790072188587
13,0.0361630677962315,72.3984617280554,8,1.63413726994577e-12,1532.14451317849,15,0,0.957552849337248,0.920411592507339,0.920411592507339,0.911400579663016,0.952746975820275,0.50813172043748,0.957747798078702,0.957552849337248,-7807.25010682074,-7771.05087595672,15640.5002136415,15704.3140257726,1001,15663.0252740905,0.0896758939183595,0.0714045507405279,0.109167935865707,0.9,0.00025459195155586,0.05,0.81616849220825,0.08,0.0507971795732328,0.0507971795732328,0.0524357794132287,0.0524357794132287,0.0524357794132287,0.062042850928225,0.062042850928225,0.052435779437483,0.052435779437483,215.408151753672,278.772825343054,0.976539858464636,0.938417128469671,0.372015184177004,0.968344793203959,0.0983001615664889
13,0.0190894994956565,38.2171779903044,8,6.86364858970556e-06,1358.83193550263,15,0,0.977514168854008,0.957839066601264,0.957839066601264,0.947265583874201,0.97187497806624,0.518333321635328,0.977630690246407,0.977514168854008,-7799.21579895327,-7780.10720995811,15624.4315979065,15688.2454100376,1001,15646.9566583555,0.0614277939935428,0.0427063024884529,0.0816262670801473,0.9,0.148569848063966,0.05,0.0661941845811608,0.08,0.0376295130374233,0.0376295130374233,0.039023584989139,0.039023584989139,0.039023584989139,0.0461733219410781,0.0461733219410781,0.0390235794936111,0.0390235794936111,407.173903600612,527.211675540116,0.987279602362042,0.96660895620036,0.37610651518554,0.985019840375555,0.064153024965339
13,0.0392347777075659,78.5480249705469,8,9.5812247025151e-14,1465.23107555013,15,0,0.951353942030386,0.908788641306974,0.908788641306974,0.899485105607333,0.946392056323911,0.504742430039419,0.95158761973017,0.951353942030386,-7756.70869849388,-7717.4346860086,15539.4173969878,15603.2312091188,1001,15561.9424574367,0.0938599671206552,0.0756126626285717,0.113288285385362,0.9,6.08988066218563e-05,0.05,0.896936286965384,0.08,0.0552163614352044,0.0552163614352044,0.056036779566596,0.056036779566596,0.056036779566596,0.0663036055510087,0.0663036055510087,0.0560367743353451,0.0560367743353451,198.622032823128,257.025855166106,0.974432746888387,0.932885960582016,0.3712124750051,0.965374882592207,0.104443581389158
13,0.0362618799605681,72.5962836810573,8,1.49202872279375e-12,1422.26984390595,15,0,0.954098153981779,0.913934038715835,0.913934038715835,0.904295213397646,0.948957447145411,0.506110638477553,0.954325347486266,0.954098153981779,-7828.86167339123,-7792.56353155071,15683.7233467825,15747.5371589136,1001,15706.2484072315,0.0898135234312796,0.0715430544438916,0.109303357588892,0.9,0.000243396931192574,0.05,0.819324536361496,0.08,0.0512600442794097,0.0512600442794097,0.0518108707293473,0.0518108707293473,0.0518108707293473,0.0613034510776755,0.0613034510776755,0.0518108725079158,0.0518108725079158,214.823898164249,278.015905566807,0.976596895525393,0.938566850754156,0.372036912581102,0.968249113686346,0.0984977858951621
13,0.0477852508851733,95.6660722721169,8,0,1518.53792547731,15,0,0.941693474579774,0.890675264837076,0.890675264837076,0.881877243563846,0.937001196567385,0.499733971502605,0.941963673474524,0.941693474579774,-7856.86277536388,-7809.02973922782,15739.7255507278,15803.5393628589,1001,15762.2506111767,0.104629401806052,0.0864242205074686,0.123920764402349,0.9,8.33018742318892e-07,0.05,0.986260832703552,0.08,0.0592489696746761,0.0592489696746761,0.0606477375852993,0.0606477375852993,0.0606477375852993,0.0717593740324976,0.0717593740324976,0.0606477402802639,0.0606477402802639,163.260454519001,211.213765309505,0.970013173587795,0.921284580667963,0.369528828033446,0.957155659750451,0.121544527744372
