"npar","fmin","chisq","df","pvalue","baseline.chisq","baseline.df","baseline.pvalue","cfi","tli","nnfi","rfi","nfi","pnfi","ifi","rni","logl","unrestricted.logl","aic","bic","ntotal","bic2","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.ci.level","rmsea.pvalue","rmsea.close.h0","rmsea.notclose.pvalue","rmsea.notclose.h0","rmr","rmr_nomean","srmr","srmr_bentler","srmr_bentler_nomean","crmr","crmr_nomean","srmr_mplus","srmr_mplus_nomean","cn_05","cn_01","gfi","agfi","pgfi","mfi","ecvi"
18,0.195996823766885,392.385641181304,60,0,2571.20624950795,66,0,0.86732204534194,0.854054249876135,0.854054249876135,0.832131628731832,0.847392389756211,0.770356717960192,0.867639051453288,0.86732204534194,-15864.1226201035,-15667.9297995129,31764.2452402071,31852.6028262347,1001,31795.4337854441,0.0743923817329111,0.0674782424384629,0.0814866574541533,0.9,6.57528853587053e-09,0.05,0.097807312626625,0.08,0.0502607993206671,0.0502607993206671,0.0517789571815773,0.0517789571815773,0.0517789571815773,0.0553371891306232,0.0553371891306232,0.0522477675636019,0.0522477675636019,202.742923604485,226.461354941563,0.944535485846583,0.927896131600557,0.726565758343525,0.847023538908722,0.427957683497806
18,0.178304566178316,356.965741488988,60,0,2417.46025769828,66,0,0.873710074190379,0.861081081609417,0.861081081609417,0.837572380192198,0.852338527447453,0.774853206770411,0.874031496175069,0.873710074190379,-16008.0724399776,-15829.5895692331,32052.1448799552,32140.5024659829,1001,32083.3334251923,0.0703170288072255,0.0633710459414568,0.0774479290205621,0.9,1.17633689844521e-06,0.05,0.0123737604047758,0.08,0.0546526834433936,0.0546526834433936,0.0544339293094683,0.0544339293094683,0.0544339293094683,0.0554791098606212,0.0554791098606212,0.0536572200309069,0.0536572200309069,222.760850501052,248.832741459533,0.948750553107303,0.933375719039494,0.729808117774849,0.862142648760827,0.392573168320667
18,0.184209815963635,368.788051559198,60,0,2706.10757340089,66,0,0.883039594798999,0.871343554278899,0.871343554278899,0.850092117289595,0.863720106626905,0.78520009693355,0.883304800355365,0.883039594798999,-15948.2507518526,-15763.856726073,31932.5015037053,32020.859089733,1001,31963.6900489423,0.0717030417749962,0.0647685561071632,0.0788208724663081,0.9,2.23706546509383e-07,0.05,0.0272687359728077,0.08,0.054901534683933,0.054901534683933,0.0525595542271165,0.0525595542271165,0.0525595542271165,0.0525535013826617,0.0525535013826617,0.0511599385621087,0.0511599385621087,215.651819921095,240.887919216249,0.946822178910705,0.930868832583916,0.728324753008235,0.857066483831562,0.404383667891307
18,0.17421514766909,348.778725633517,60,0,2386.07260587034,66,0,0.875530306722799,0.863083337395079,0.863083337395079,0.839210006747918,0.853827278861744,0.77620661714704,0.875851370716149,0.875530306722799,-15989.9845276939,-15815.5951648771,32015.9690553877,32104.3266414154,1001,32047.1576006248,0.0693409733849234,0.0623864397274732,0.0764814974498311,0.9,3.55168219268176e-06,0.05,0.00671505187803894,0.08,0.0490760671849075,0.0490760671849075,0.0491792487779174,0.0491792487779174,0.0491792487779174,0.0528562863211411,0.0528562863211411,0.0497759435905211,0.0497759435905211,227.966327400129,254.650213784281,0.951125831166303,0.936463580516194,0.73163525474331,0.865675529657063,0.384394331302215
18,0.205438548600686,411.287974298573,60,0,2494.34779036475,66,0,0.85533868925513,0.840872558180643,0.840872558180643,0.818623219474028,0.835112017703662,0.759192743366966,0.855695239731568,0.85533868925513,-16051.987723647,-15846.3437364977,32139.9754472939,32228.3330333216,1001,32171.163992531,0.0764784323912426,0.0695784915205896,0.0835559326554505,0.9,3.21837223538068e-10,0.05,0.210420829300828,0.08,0.0604579881749121,0.0604579881749121,0.0588064928515483,0.0588064928515483,0.0588064928515483,0.0569563458597633,0.0569563458597633,0.0566079924399899,0.0566079924399899,193.471045542581,216.0994044288,0.942050684176344,0.924665889429247,0.724654372443341,0.839063811635437,0.446841133165408
18,0.171086611148559,342.515395519415,60,0,2542.22631893367,66,0,0.885908895580645,0.87449978513871,0.87449978513871,0.851796461917918,0.865269510834471,0.786608646213155,0.886184674876552,0.885908895580645,-15976.1649479904,-15804.9072502307,31988.3298959808,32076.6874820085,1001,32019.5184412179,0.0685848820024086,0.0616234481041393,0.0757331098975469,0.9,8.0636347649099e-06,0.05,0.0040533779651463,0.08,0.0584894209667299,0.0584894209667299,0.0575209118599913,0.0575209118599913,0.0575209118599913,0.0549175979528094,0.0549175979528094,0.0538227189059345,0.0538227189059345,232.116695681054,259.288530902944,0.949145145501267,0.933888689151647,0.73011165038559,0.868388068091834,0.378137258261154
18,0.227306737359756,455.068088194231,60,0,2715.90450127118,66,0,0.850912329857655,0.836003562843421,0.836003562843421,0.815687592557337,0.832443265961216,0.756766605419287,0.851249136403383,0.850912329857655,-16045.7990356129,-15818.2649915157,32127.5980712257,32215.9556572534,1001,32158.7866164628,0.08110419376533,0.0742315845355369,0.0881485164007224,0.9,1.7785772854495e-13,0.05,0.612038370733075,0.08,0.0610467625657859,0.0610467625657859,0.0583304741003914,0.0583304741003914,0.0583304741003914,0.058386918211015,0.058386918211015,0.0575514575592901,0.0575514575592901,174.954246597378,195.405629872669,0.938960920605484,0.920649196787129,0.722277631234988,0.820914178902781,0.490577510683548
18,0.167608977253982,335.553172462472,60,0,2560.30598346209,66,0,0.889527117246456,0.878479828971101,0.878479828971101,0.855834227591187,0.868940206901079,0.789945642637344,0.889792219718275,0.889527117246456,-16034.0841231444,-15866.3075369131,32104.1682462887,32192.5258323164,1001,32135.3567915258,0.067734517858069,0.0607650216319852,0.0748916814148788,0.9,1.95340642016317e-05,0.05,0.00222337602527457,0.08,0.0562638354371298,0.0562638354371298,0.0546184943255497,0.0546184943255497,0.0546184943255497,0.0526923329288944,0.0526923329288944,0.0521372811061292,0.0521372811061292,236.912019103887,264.647628991631,0.951486344590136,0.936932247967177,0.731912572761643,0.871413261079038,0.371181990472
18,0.194565027578483,389.519185212124,60,0,2536.2969128633,66,0,0.86660745779333,0.853268203572663,0.853268203572663,0.831064296313154,0.846422087557413,0.769474625052194,0.86693066429134,0.86660745779333,-15917.8402783909,-15723.0806857848,31871.6805567817,31960.0381428094,1001,31902.8691020188,0.0740709114314235,0.0671544667946103,0.0811678841794283,0.9,1.0240289949337e-08,0.05,0.0854370194422935,0.08,0.0562653016337053,0.0562653016337053,0.0567073491753656,0.0567073491753656,0.0567073491753656,0.0586732618315764,0.0586732618315764,0.0551360530072083,0.0551360530072083,204.227541640156,228.120515956546,0.942736689790755,0.925557696727982,0.725182069069812,0.848237172613941,0.425094091121003
18,0.203043442688473,406.492972262322,60,0,2495.94003858468,66,0,0.857406780924464,0.84314745901691,0.84314745901691,0.820852158875537,0.837138326250488,0.761034842045898,0.857758004395034,0.857406780924464,-15936.4981380874,-15733.2516519563,31908.9962761749,31997.3538622026,1001,31940.1848214119,0.0759546822604204,0.0690512965749009,0.0830362796254872,0.9,7.02607527713894e-10,0.05,0.176724764149788,0.08,0.057435275088265,0.057435275088265,0.0576912069296474,0.0576912069296474,0.0576912069296474,0.0593646649435214,0.0593646649435214,0.0567887927532185,0.0567887927532185,195.741439173643,218.636722790031,0.941376530570449,0.923789489741584,0.724135792746499,0.841075866912303,0.442050921340981
